Order_Number,Seed_Company,Variety,Crop,Size,Quantity,Organic,At_Kretschmanns
Order Number,Seed Company,Variety,Description,Size,Quantity,Organic,Planted at Kretschmanns
5297514,Johnny's,Celway™ Terracotta,Celosia Seed,100 Seeds,2,,
5297514,Johnny's,Cramer's Burgundy,Celosia Seed,"1,000 Seeds",1,,
5297514,Johnny's,Alaska Mix,Nasturtium Seed,1/4 Pound,1,,
5297514,Johnny's,Afternoon White,Cosmos Seed,500 Seeds,1,,
5297514,Johnny's,Apricotta,Cosmos Seed,500 Seeds,1,,
5297514,Johnny's,Versailles Red,Cosmos Seed,"1,000 Seeds",1,,
5297514,Johnny's,Oklahoma Salmon,Zinnia Seed,"1,000 Seeds",1,,
5297514,Johnny's,Oklahoma White,Zinnia Seed,500 Seeds,1,,
5297514,Johnny's,Oklahoma Ivory,Organic Zinnia Seed,500 Seeds,1,☑,
5297514,Johnny's,ProCut® Gold Lite DMR,(F1) Sunflower Seed,250 Seeds,1,,
5297514,Johnny's,Gold Rush,(F1) Sunflower Seed,250 Seeds,1,,
5297514,Johnny's,ProCut® White Lite,(F1) Sunflower Seed,500 Seeds,1,,
5297514,Johnny's,Hybrid Pearl Millet,(F1) Cover Crop Seed,1 Pound,1,,
5297514,Johnny's,Bingo,Endive Seed,"5,000 Seeds",1,,
5291487,Johnny's,Clio,(F1) Italian Dandelion,"5,000 Seeds",1,,
5291487,Johnny's,Sun Gold,(F1) Tomato Seed,250 Seeds,1,,
5291487,Johnny's,Sun Gold,(F1) Tomato Seed,100 Seeds,1,,
5291487,Johnny's,Striped German,Organic Tomato Seed,250 Seeds,1,☑,
5291487,Johnny's,Big Beef Plus,(F1) Tomato Seed,250 Seeds,1,,
5291487,Johnny's,Borage,Borage Seed,1/4 Pound,1,,
5291487,Johnny's,Spitfire,(F1) Anaheim Pepper,250 Seeds,1,,
5291487,Johnny's,Marmalade Skies,Organic (F1) Tomato,250 Seeds,1,☑,
5291487,Johnny's,Rosaine,Pelleted Lettuce Seed,"5,000 Seeds",1,,
5278833,Johnny's,Caraflex,(F1) Cabbage Seed,"1,000 Seeds",1,,
5278833,Johnny's,Sweet and Tender,(F1) Cabbage Seed,"1,000 Seeds",1,,
